戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"MACDクロス(8,21,12)",MACDクロス,15,30,全時間,金,下降のみ,なし,551,3.3,63.5,-656.3,14.71,-28.87,0.887,-985.8,6,220,3.5,59.1,-562.5,14.83,-27.68,0.774,-653.5,5,0.873,29.0,不採用
"MACDクロス(8,35,12)",MACDクロス,6,5,全時間,全曜日,下降のみ,ATR高,2500,3.9,38.2,-1983.5,5.99,-5.0,0.743,-2007.5,13,942,4.1,38.7,-695.0,6.0,-5.0,0.759,-734.0,11,1.022,29.0,不採用
押し目(EMA200+RSI45/60),押し目,8,15,全時間,金,レンジのみ,なし,419,2.3,62.1,-258.2,8.0,-14.71,0.89,-369.2,6,189,2.6,57.7,-320.4,8.0,-14.9,0.731,-376.4,4,0.821,29.0,不採用
"MACDクロス(12,26,9)",MACDクロス,4,8,全時間,全曜日,順方向のみ,なし,5729,4.8,61.8,-3282.2,3.99,-7.95,0.812,-3294.2,7,2353,5.2,61.5,-1443.4,4.0,-7.97,0.8,-1509.2,11,0.985,29.0,不採用
"EMAクロス(8,100)",EMAクロス,5,10,全時間,月,レンジのみ,なし,591,3.0,60.2,-549.9,4.99,-9.91,0.764,-614.9,8,248,3.4,59.3,-266.0,5.0,-9.91,0.734,-380.0,7,0.961,29.0,不採用
"MACDクロス(12,35,9)",MACDクロス,20,8,東京(9-15時),金,なし,なし,679,3.3,28.1,-93.2,19.95,-8.0,0.976,-644.0,25,290,3.7,25.2,-280.8,19.93,-8.0,0.838,-420.8,20,0.859,29.0,不採用
"MACDクロス(12,21,12)",MACDクロス,5,10,全時間,全曜日,なし,直近30分変動大,5821,5.4,61.6,-4345.7,5.0,-9.97,0.805,-4457.7,11,2786,6.5,61.0,-2328.5,5.0,-9.96,0.785,-2348.5,8,0.975,29.0,不採用
"MACDクロス(16,26,9)",MACDクロス,8,30,全時間,木,下降のみ,ATR高,425,3.2,79.8,274.7,7.98,-28.26,1.113,-197.7,5,136,2.9,73.5,-280.0,8.0,-30.0,0.741,-316.0,3,0.666,29.0,不採用
"MACDクロス(12,35,12)",MACDクロス,20,10,全時間,水,下降のみ,直近30分変動大,358,3.1,33.5,20.0,20.0,-10.0,1.008,-230.0,9,189,3.6,29.6,-210.0,20.0,-10.0,0.842,-410.0,17,0.835,29.0,不採用
"MACDクロス(12,35,12)",MACDクロス,8,12,NY(21-23時),金,なし,なし,321,1.7,53.9,-344.1,7.86,-11.51,0.798,-394.4,8,111,1.6,49.5,-192.5,7.86,-11.16,0.692,-208.5,5,0.867,29.0,不採用
"EMAクロス(5,50)",EMAクロス,10,8,全時間,月,順方向のみ,なし,311,1.9,45.3,57.3,9.93,-7.9,1.043,-186.5,13,114,1.8,38.6,-120.0,10.0,-8.0,0.786,-182.0,13,0.754,29.0,不採用
